"lad19cd","Age0-4","Age5-9","Age10-14","Age15-19","Age20-24","Age25-29","Age30-34","Age35-39","Age40-44","Age45-49","Age50-54","Age55-59","Age60-64","Age65-69","Age70-74","Age75-79","Age80-84","Age85-89","Age90-90"
"E06000001",5297,5957,5600,5192,5422,5990,6033,5423,4888,6172,6900,6775,5634,5296,4637,3082,2628,1529,787
"E06000002",9657,9606,8579,8353,11650,10998,9376,8110,7316,8205,9021,8976,7931,6590,5857,4158,3335,1941,886
"E06000003",7348,8259,7768,7108,7351,8244,8067,7383,6838,8882,10166,10065,8804,8342,8333,5848,4228,2389,1295
"E06000004",11648,13134,12213,10815,10898,12999,13345,12602,11122,13223,14106,13658,11778,10463,9456,6413,4882,2991,1467
"E06000005",5917,6650,6410,5656,5429,6267,6605,6637,6302,7395,7854,7485,6371,5960,5740,3937,3095,1798,1058
"E06000006",7676,8488,8148,7075,7016,7934,8387,8102,7469,9046,8933,8922,7980,7538,6411,4025,2918,1606,758
"E06000007",11933,13102,12351,11365,10654,12838,13457,13716,12962,15653,16329,14600,11704,10758,10746,7639,5308,2877,1555
"E06000008",10576,11152,10687,9833,9249,9720,10312,10457,9173,10089,9798,8939,7414,6649,5800,3892,2830,1596,776
"E06000009",8365,8378,7763,7354,7948,8903,8334,7632,7263,9783,10809,9928,8443,7689,7680,5438,3942,2311,1342
"E06000010",17207,17211,14880,13950,21824,23017,19994,16854,14542,16103,16762,15991,13313,11707,10326,6888,5439,3141,1496
"E06000011",15572,18169,18460,17585,14249,15428,16058,17327,18670,24253,26450,25997,23911,24234,24403,16123,12126,7016,3583
"E06000012",9516,10255,9571,8464,8311,10390,10345,9208,8418,10785,11438,11194,9627,8819,8569,5927,4717,2746,1521
"E06000013",9204,10578,10319,8943,8448,10052,10713,10191,9373,11795,12916,12382,11042,10596,9692,6585,4756,2820,1600
"E06000014",9822,10798,10260,14301,23198,16584,13466,12248,11402,13045,13440,12334,10705,10038,10156,6946,5692,3364,2094
"E06000015",16674,17889,16478,15661,18493,19191,17867,16686,15048,16782,17231,14989,12309,11082,10791,7532,6270,3948,2253
"E06000016",25049,24784,22211,24543,40115,32486,26205,23925,20139,20050,19079,18563,15765,13288,10122,7280,5738,3678,2198
"E06000017",1855,1988,2277,2486,1821,2091,1918,2212,2211,2717,2978,2801,2464,2652,2680,1877,1370,809,490
"E06000018",20755,20257,17906,26256,49059,32794,22692,20451,17104,18323,17956,16026,13290,11234,9563,6590,5391,3421,2001
"E06000019",9337,10757,10251,9407,8913,10804,10921,10886,9905,12682,14507,13945,13167,12979,12463,8573,6430,3897,2283
"E06000020",11022,12264,11251,10342,11205,11150,11424,11761,10551,12675,12959,11306,9648,9197,8274,5750,3857,2104,1059
"E06000021",17135,17143,15303,14242,17820,18866,18169,16407,14007,16779,16809,15679,14027,12630,11804,8191,5807,3412,1603
