lad19cd,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26
E06000001,0,0,0,0,0,0,0,2,1,1,0,3,1,1,4,0,2,0,4,2,8,2,3,2,0,0,3,4,6,7,3,0,2,5,7,3,1,1,5,24,2,3,3,1,4,3,9,4,8,1,0,6,2,1,2,2,7,2,5,10,5,6,4,19,2,10,6,1,1,9,10,4,3,19,10,2,3,3,9,5,2,3,10,2
E06000002,2,0,0,3,0,0,5,2,0,0,2,1,1,4,3,1,1,14,8,3,4,4,2,3,4,0,0,26,5,4,13,9,9,9,3,16,2,1,20,14,7,5,16,7,10,8,4,22,11,15,12,8,5,7,9,9,14,11,4,13,11,14,10,7,10,14,12,15,17,8,6,16,4,20,10,8,14,17,13,6,2,6,10,6
E06000003,2,0,1,0,2,0,1,0,0,0,0,1,4,1,1,3,1,2,1,5,5,0,0,1,5,6,1,1,1,3,4,7,3,0,5,3,1,10,7,1,15,43,6,2,10,28,31,14,9,8,9,7,10,12,7,3,5,5,7,5,8,19,16,4,7,10,8,20,2,15,8,8,20,16,5,8,14,11,6,2,4,6,11,2
E06000004,1,0,0,0,0,0,2,0,0,0,2,1,3,7,0,6,0,3,6,2,1,9,10,3,4,16,21,8,5,33,10,11,6,14,12,15,19,9,11,5,11,10,11,11,5,23,16,37,20,10,11,8,8,26,38,8,16,22,12,27,16,20,14,11,10,9,11,6,10,19,20,19,10,23,17,11,27,15,11,11,17,13,13,2
E06000005,0,3,0,0,0,1,0,1,0,0,2,0,1,1,0,0,4,0,1,7,11,2,0,0,11,5,7,4,2,2,1,6,1,8,12,5,4,6,3,4,44,2,1,0,1,1,12,5,4,3,31,3,8,3,11,0,2,1,38,1,6,12,15,1,4,3,13,10,12,21,9,4,23,15,4,1,6,5,11,11,6,9,7,12
E06000006,0,0,0,0,0,0,0,0,2,4,2,0,3,1,0,0,1,4,8,4,1,4,3,0,4,4,12,3,1,4,2,13,13,11,3,8,1,4,7,8,3,10,10,1,1,13,7,7,4,20,3,9,9,2,1,6,7,2,3,12,8,3,5,12,2,3,5,8,6,1,0,0,7,6,7,6,3,2,2,0,1,3,2,2
E06000007,0,0,1,0,1,0,5,4,2,4,3,0,1,6,12,3,1,12,12,18,9,7,8,6,5,5,2,11,7,24,16,12,22,4,5,4,11,6,8,17,16,9,17,18,7,14,7,15,15,17,30,17,13,9,35,20,29,7,10,15,9,21,16,19,9,4,18,11,20,12,8,8,3,8,5,12,8,6,5,2,19,10,4,3
E06000008,0,0,0,0,4,0,0,0,1,2,2,1,4,9,2,0,0,3,4,5,2,2,4,6,7,2,3,4,6,3,2,13,7,5,3,3,1,11,2,13,7,24,2,8,2,13,7,18,16,13,6,12,14,11,12,13,10,10,9,1,3,7,17,8,7,4,16,5,11,10,12,3,8,7,16,5,7,13,3,2,9,13,7,15
E06000009,2,4,0,0,0,1,0,9,1,4,0,0,4,8,0,0,0,0,0,0,9,3,0,6,5,5,7,6,13,6,11,4,2,13,17,8,15,9,15,13,20,14,23,32,18,13,16,33,4,18,7,11,8,22,4,23,23,12,9,18,19,12,6,7,4,5,8,10,20,47,6,16,1,19,19,3,4,5,7,3,10,16,9,2
E06000010,0,0,0,8,0,0,0,0,1,2,2,0,2,1,0,1,0,1,2,7,0,3,0,0,2,1,2,0,1,6,2,0,3,5,3,7,2,6,1,7,9,10,8,6,12,10,4,11,11,14,14,16,11,13,19,18,11,20,26,32,23,31,15,12,13,23,30,37,24,21,29,25,18,32,12,14,16,16,12,11,22,17,14,14
E06000011,0,2,0,5,0,1,0,3,0,0,1,1,0,0,5,2,1,6,1,1,2,2,5,7,0,12,1,3,0,6,4,9,15,10,6,4,3,10,7,6,10,7,10,4,10,7,17,11,7,10,8,7,23,20,25,22,16,8,13,23,25,22,18,28,12,23,24,33,20,38,18,23,12,18,26,30,14,13,18,10,16,20,10,10
E06000012,0,0,0,0,0,3,0,0,1,0,0,1,0,0,2,0,0,4,0,1,2,0,0,0,1,1,0,1,0,3,8,0,6,6,2,2,4,4,6,8,4,0,4,4,8,10,6,6,14,11,10,3,7,9,12,8,1,4,10,15,15,20,7,8,4,14,14,12,6,7,24,5,6,14,11,14,7,10,2,6,7,5,10,4
E06000013,1,1,0,3,3,0,2,1,0,0,0,0,0,8,2,0,5,2,3,2,0,2,0,0,2,2,3,4,1,2,0,1,1,6,1,5,0,1,7,4,9,4,0,0,14,7,3,5,7,10,2,1,7,6,13,11,3,5,2,4,19,6,4,13,4,4,13,19,6,20,22,2,19,18,12,10,5,7,15,5,8,17,7,8
E06000014,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,1,5,0,0,5,0,0,3,0,3,1,4,7,5,2,1,3,8,2,2,0,0,4,5,10,1,3,3,11,1,3,14,5,2,2,6,0,7,9,2,6,10,2,5,7,7,6,11,4,1,2,3,6,4,5,0,0,2,3,12,8,9,8,3,4,4,6,4,9
E06000015,0,0,0,5,0,0,0,2,0,1,0,0,2,11,7,1,2,5,3,1,1,3,1,5,0,7,1,3,2,3,0,2,2,5,0,1,5,8,2,8,9,6,17,12,11,7,13,5,14,8,9,9,6,10,18,26,6,20,6,9,20,10,12,2,6,8,8,12,20,7,5,9,8,9,5,10,2,1,4,5,6,4,5,13
E06000016,4,1,3,6,1,2,4,6,1,5,2,2,10,1,4,8,2,8,5,10,6,3,2,0,1,3,0,7,4,6,1,6,1,5,4,1,10,4,5,2,6,8,5,4,5,11,8,8,10,7,4,2,12,6,12,16,13,6,7,19,5,14,11,1,6,4,16,16,20,20,16,5,8,17,18,23,18,12,12,10,10,17,15,9
E06000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,2,4,0,2,1,0,2,0,0,1,1,0,3,0,0,0,1,0,0,3,0,0,0,0,2,0,7,0,0,0,0,0,0,0,1,2,0,2,0,0,0
