Flow,From,To
9465,N09000001,N09000001
107,N09000001,N09000011
42,N09000001,N09000002
1485,N09000001,N09000008
35,N09000001,N09000004
18,N09000001,N09000002
4538,N09000001,N09000003
139,N09000001,N09000008
282,N09000001,N09000007
108,N09000001,N09000004
73,N09000001,N09000009
171,N09000001,N09000002
42,N09000001,N09000005
33,N09000001,N09000010
39,N09000001,N09000009
8,N09000001,N09000006
187,N09000001,N09000008
15,N09000001,N09000004
669,N09000001,N09000007
407,N09000001,N09000009
14,N09000001,N09000004
68,N09000001,N09000010
1442,N09000001,N09000001
142,N09000001,N09000011
4,N09000001,N09000006
2,N09000001,N09000005
1,N09000001,E06000002
1,N09000001,E06000003
1,N09000001,E06000007
2,N09000001,E06000010
3,N09000001,E06000019
1,N09000001,E06000020
2,N09000001,E06000021
1,N09000001,E06000024
1,N09000001,E06000026
1,N09000001,E06000027
1,N09000001,E06000030
1,N09000001,E06000031
1,N09000001,E06000042
1,N09000001,E06000043
1,N09000001,E06000044
1,N09000001,E06000045
1,N09000001,E06000049
5,N09000001,E06000051
4,N09000001,"E06000052,E06000053"
1,N09000001,E06000056
1,N09000001,E07000008
1,N09000001,E07000012
2,N09000001,E07000026
1,N09000001,E07000028
1,N09000001,E07000040
1,N09000001,E06000059
1,N09000001,E07000071
1,N09000001,E07000073
1,N09000001,E07000074
4,N09000001,E07000082
1,N09000001,E07000083
1,N09000001,E07000087
1,N09000001,E07000093
2,N09000001,E07000094
1,N09000001,E07000096
1,N09000001,E07000098
1,N09000001,E07000105
1,N09000001,E07000106
1,N09000001,E07000117
1,N09000001,E07000124
1,N09000001,E07000126
1,N09000001,E07000127
2,N09000001,E07000132
1,N09000001,E07000139
1,N09000001,E07000148
1,N09000001,E07000152
1,N09000001,E07000165
2,N09000001,E07000171
1,N09000001,E07000178
2,N09000001,E07000179
1,N09000001,E07000194
1,N09000001,E07000199
3,N09000001,E07000202
2,N09000001,E07000203
1,N09000001,E07000215
1,N09000001,E07000217
2,N09000001,E07000226
1,N09000001,E07000228
7,N09000001,E08000003
2,N09000001,E08000006
1,N09000001,E08000009
2,N09000001,E08000011
3,N09000001,E08000012
1,N09000001,E08000014
1,N09000001,E08000018
2,N09000001,E08000021
4,N09000001,E08000025
1,N09000001,E08000029
1,N09000001,E08000031
