Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MYE2: Population estimates: Females by single year of age and sex for local authorities in the UK, mid-2018",,,,,,,"Please click to 
e-mail us your opinion:",,"This met my needs, please produce it next year",,I need something slightly different (please specify),,This isn't what I need at all (please specify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Name,Geography,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
K02000001,UNITED KINGDOM,Country,"33,645,348","362,931","375,341","387,630","388,301","392,101","401,270","414,348","408,199","400,663","395,813","398,640","384,526","377,837","363,458","357,173","346,926","341,812","353,628","362,219","380,427","388,931","402,450","405,362","411,037","425,730","431,409","450,115","456,180","447,914","448,855","455,763","448,522","447,555","447,937","439,493","443,562","444,015","446,006","445,383","425,942","397,469","390,564","400,468","407,912","415,341","433,399","452,204","470,036","458,544","470,201","470,090","474,274","476,094","479,358","474,242","463,241","451,605","436,233","418,441","409,535","400,174","385,286","370,916","357,872","359,127","352,953","343,286","345,174","351,835","358,452","376,645","405,199","312,740","302,019","299,138","278,921","249,132","223,746","228,622","224,153","214,793","202,210","189,402","175,985","159,667","147,771","138,433","126,713","113,032","96,759","400,538"
K03000001,GREAT BRITAIN,Country,"32,689,907","351,633","363,711","375,643","376,222","379,977","388,844","401,584","395,434","388,067","383,150","385,936","372,483","366,335","352,272","346,136","335,985","330,885","342,643","351,022","369,228","378,101","391,367","394,304","399,797","414,091","419,657","437,850","443,704","435,487","436,471","443,042","435,725","434,629","435,233","426,847","430,953","431,423","433,161","432,529","413,349","385,606","378,833","388,698","395,988","403,016","420,645","439,364","456,799","445,318","456,816","456,601","460,781","462,701","465,637","460,856","450,371","438,791","423,717","406,415","397,981","388,784","374,364","360,555","348,146","349,660","343,530","334,251","336,171","342,760","349,480","367,653","396,208","304,443","293,900","291,153","271,252","242,346","217,626","222,768","218,303","209,413","197,003","184,587","171,540","155,684","143,936","135,016","123,643","110,284","94,347","391,257"
K04000001,ENGLAND AND WALES,Country,"29,900,558","326,155","337,670","348,591","348,453","352,034","360,147","372,335","365,100","358,982","353,272","356,173","344,031","338,357","324,828","319,249","309,669","304,705","315,248","323,012","337,970","345,284","356,970","359,679","364,594","377,796","382,149","398,238","404,484","397,714","398,776","405,108","398,745","398,264","398,654","391,388","394,992","394,926","397,248","397,337","379,664","353,791","348,121","355,929","362,755","369,598","385,049","401,192","416,845","406,090","416,040","415,130","419,486","421,439","423,144","418,559","408,404","398,188","384,028","368,173","359,874","351,781","338,594","325,934","314,964","317,173","311,698","303,606","305,321","312,027","318,141","335,520","361,374","278,419","269,150","266,284","247,270","220,354","197,340","202,488","198,782","190,764","179,345","168,094","156,290","141,800","131,476","123,277","113,357","101,402","86,757","361,950"
E92000001,ENGLAND,Country,"28,309,236","310,525","321,522","331,803","331,559","335,065","342,703","354,215","346,678","340,812","335,524","337,926","326,534","321,037","307,963","302,888","293,801","288,845","298,838","305,833","319,387","325,703","337,190","340,570","345,682","357,841","361,973","377,446","383,724","377,887","378,914","385,662","379,770","379,553","379,662","373,224","376,544","376,552","378,172","378,447","361,914","336,944","331,604","338,908","345,283","351,339","365,570","380,534","394,820","384,788","393,836","393,074","396,933","398,868","399,900","395,242","385,802","375,868","362,172","347,088","339,029","331,290","318,785","306,696","296,404","298,013","292,661","285,237","286,641","293,101","298,811","315,080","339,855","261,886","252,895","250,366","232,313","206,575","184,848","190,485","187,117","179,519","168,751","158,153","147,147","133,314","123,624","116,217","106,926","95,694","81,854","341,488"
E12000001,NORTH EAST,Region,"1,352,423","13,283","13,932","14,169","13,979","14,466","14,956","15,467","15,597","15,294","14,744","15,156","14,593","14,789","13,878","13,532","13,067","12,987","13,509","14,457","16,668","17,652","17,580","17,344","16,699","17,101","17,347","18,493","18,117","17,105","16,872","17,245","16,787","17,200","16,963","16,446","16,472","16,433","16,434","16,521","15,794","14,229","13,899","14,870","14,940","15,365","16,296","17,699","18,653","18,150","18,410","18,675","19,233","19,525","20,045","19,920","20,012","19,633","18,886","18,296","18,470","18,382","17,263","16,692","15,979","15,868","15,726","15,119","15,305","15,729","15,737","16,543","17,716","13,413","12,790","12,378","11,097","10,312","9,541","10,147","9,890","9,649","9,039","8,125","7,717","6,889","6,314","5,759","5,423","4,689","3,791","15,067"
E06000047,County Durham,Unitary Authority,"267,681","2,464","2,573","2,631","2,716","2,788","2,824","2,856","3,024","3,045","2,797","2,999","2,788","2,872","2,709","2,580","2,550","2,405","2,538","2,898","3,721","3,919","3,661","3,381","3,178","3,136","3,310","3,627","3,539","3,160","3,124","3,067","2,987","3,277","3,170","2,992","3,075","3,105","3,099","3,164","2,985","2,790","2,770","2,862","2,895","2,955","3,325","3,503","3,790","3,605","3,805","3,960","3,939","4,022","4,088","4,150","3,976","3,885","3,797","3,611","3,799","3,720","3,519","3,434","3,293","3,236","3,285","3,118","3,192","3,276","3,352","3,422","3,703","2,839","2,754","2,721","2,381","2,192","2,020","2,015","2,010","1,926","1,816","1,610","1,543","1,313","1,191","1,071","1,077",882,716,"2,793"
E06000005,Darlington,Unitary Authority,"54,647",555,563,578,583,579,626,698,631,653,637,699,648,667,575,598,567,542,587,569,505,477,460,571,570,623,581,679,709,669,656,698,658,688,668,714,647,647,673,714,684,645,549,677,666,739,699,748,805,798,717,770,791,866,794,791,795,783,778,711,724,751,683,682,569,586,609,602,616,628,600,622,755,575,534,511,409,411,398,401,438,403,380,355,345,273,287,240,206,195,170,721
E06000001,Hartlepool,Unitary Authority,"47,718",464,496,525,530,550,541,583,601,619,575,565,588,582,563,480,511,482,506,550,475,453,502,513,558,593,582,662,607,578,587,639,658,635,616,592,561,585,554,555,547,512,516,497,517,512,581,602,666,639,662,676,737,739,699,729,712,755,694,625,678,632,569,547,592,479,573,546,490,538,579,565,548,426,412,364,358,373,294,362,308,398,349,270,286,253,234,215,198,159,140,550
