lad19cd,date,cases
E06000006,2020-06-16,0.0
E06000007,2020-06-16,4.0
E06000008,2020-06-16,2.0
E06000009,2020-06-16,3.0
E06000049,2020-06-16,19.0
E06000050,2020-06-16,8.0
E07000027,2020-06-16,1.0
E07000029,2020-06-16,0.0
E07000031,2020-06-16,1.0
E07000037,2020-06-16,1.0
E07000117,2020-06-16,5.0
E07000118,2020-06-16,3.0
E07000119,2020-06-16,2.0
E07000120,2020-06-16,1.0
E07000121,2020-06-16,0.0
E07000122,2020-06-16,6.0
E07000123,2020-06-16,8.0
E07000124,2020-06-16,0.0
E07000125,2020-06-16,1.0
E07000126,2020-06-16,1.0
E07000127,2020-06-16,1.0
E07000128,2020-06-16,0.0
E07000163,2020-06-16,2.0
E07000165,2020-06-16,9.0
E07000166,2020-06-16,0.0
E08000001,2020-06-16,4.0
E08000002,2020-06-16,11.0
E08000003,2020-06-16,24.0
E08000004,2020-06-16,36.0
E08000005,2020-06-16,14.0
E08000006,2020-06-16,3.0
E08000007,2020-06-16,0.0
E08000008,2020-06-16,11.0
E08000009,2020-06-16,1.0
E08000010,2020-06-16,6.0
E08000011,2020-06-16,1.0
E08000012,2020-06-16,3.0
E08000013,2020-06-16,1.0
E08000014,2020-06-16,3.0
E08000015,2020-06-16,4.0
E08000032,2020-06-16,56.0
E08000033,2020-06-16,7.0
E08000034,2020-06-16,17.0
E06000006,2020-06-17,0.0
E06000007,2020-06-17,2.0
E06000008,2020-06-17,4.0
E06000009,2020-06-17,2.0
E06000049,2020-06-17,9.0
E06000050,2020-06-17,5.0
E07000027,2020-06-17,1.0
E07000029,2020-06-17,0.0
E07000031,2020-06-17,1.0
E07000037,2020-06-17,0.0
E07000117,2020-06-17,1.0
E07000118,2020-06-17,0.0
E07000119,2020-06-17,3.0
E07000120,2020-06-17,2.0
E07000121,2020-06-17,1.0
E07000122,2020-06-17,1.0
E07000123,2020-06-17,5.0
E07000124,2020-06-17,0.0
E07000125,2020-06-17,1.0
E07000126,2020-06-17,4.0
E07000127,2020-06-17,1.0
E07000128,2020-06-17,3.0
E07000163,2020-06-17,3.0
E07000165,2020-06-17,7.0
E07000166,2020-06-17,0.0
E08000001,2020-06-17,5.0
E08000002,2020-06-17,5.0
